

        NoDur  Durbl  Manuf  Enrgy  HiTec  Telcm  Shops  Hlth   Utils  Other
195010  -0.36   0.70   0.47   0.20  -1.49   0.21   0.80  -1.76  -0.74  -1.76
195011   0.08  -2.56   5.89   5.26   2.63  -0.24   0.63   4.68  -1.18   4.04
195012   2.80   1.48   6.61   8.63   3.88   1.88   2.98   6.06   3.59  10.93
195101   4.67   9.28   6.12   6.44   7.74   1.88   3.10   3.10   5.04   6.31
195102   0.92   2.73   1.20   0.97   0.93   4.11   3.49   1.46   3.11  -0.29
195103  -2.70   1.12  -3.10  -2.33  -0.91  -1.10  -1.76   1.70  -1.39  -2.73
195104   0.96   3.36   6.90  10.65   3.16   0.85   0.08  10.41   0.22   3.65
195105  -1.25  -5.25  -2.06  -3.08  -2.77  -0.41  -1.67   1.57  -0.05  -3.26
195106  -3.65  -6.56  -3.88   1.06  -1.61  -0.18  -2.36   0.83  -0.41  -4.92
195107   3.14   3.00   8.41  11.23   5.94   2.82   2.72  14.30   5.31   7.94
195108   3.32   6.86   4.85   5.41   6.53   2.65   2.97  -1.25   2.14   3.68
195109  -0.40   2.55   0.33  -0.47   3.39  -0.08   3.08  -1.79   1.32   3.14
195110  -3.21  -2.07  -4.28   1.30  -5.84  -1.12  -3.14  -5.94   0.71  -3.34
195111   0.12   1.91   0.40  -0.98   2.33   0.49   1.38  -0.57   1.66   2.21
195112   1.94   2.46   4.30   4.31   5.15   0.88  -0.19   5.03   3.27   1.96
195201   0.50  -1.02  -0.26   6.50  -1.52   0.14  -0.45   0.86   3.08   2.23
195202  -2.08   0.31  -3.67  -3.41  -3.59  -0.66  -3.62  -4.58   0.71  -1.41
195203   1.72   8.18   2.87   8.50   5.11   1.25   2.25   0.58   2.23   5.65
195204  -3.40  -2.94  -6.72  -7.64  -3.60  -0.71  -1.76  -5.43  -1.80  -3.03
195205   1.94   3.92   4.05   3.34   2.74   1.01   2.66   2.79   2.99   3.52
195206   2.77   5.11   4.33   5.13   5.63   2.10   2.94  -1.20   1.10   4.84
195207   0.74   2.42   2.16  -0.90   1.51   0.20   1.79  -4.87   2.19   1.03
195208   0.90   2.00  -1.52  -2.66  -0.54   0.86  -0.27  -0.50   1.91   0.41
195209  -2.60  -0.68  -2.00  -4.31   1.44  -0.37  -0.72  -4.30   0.39  -0.73
195210  -1.04   1.10  -1.61   0.39  -1.26   0.99  -1.14  -1.45   0.51  -1.91
195211   5.54   6.37   8.56   1.98   8.49   4.00   4.21   7.25   5.16   6.42
195212   1.38   6.80   2.59   4.48   2.92   0.88   1.39  -1.96   1.80   3.84
195301   1.99  -0.27   0.95  -2.96  -1.25   0.93   0.77  -5.12   0.92   0.59
195302   2.51  -1.05  -0.83   0.30   1.43  -0.42  -0.09   2.09   0.41   0.16
195303  -1.74  -4.32  -1.61  -0.49  -0.45  -0.47  -0.81  -0.16   0.05  -1.61
195304  -0.32  -1.97  -2.67  -5.09  -1.58  -1.04  -0.78  -5.35  -3.19  -3.10
195305   1.40   0.04   0.32   1.69   1.65   0.35   1.53  -0.03  -0.03   1.02
195306  -1.45  -3.28  -2.26   0.02  -2.00   0.56  -2.42  -3.29  -2.85  -1.89
195307   3.09   0.77   2.48   3.84   1.93   0.88   2.14   3.66   3.37   0.92
195308  -4.12  -6.28  -4.90  -6.27  -5.19  -0.74  -2.37   0.05  -0.31  -6.43
195309   0.22  -0.84   1.10  -2.12   3.83   1.86   0.03   0.43   1.62  -0.89
195310   0.99   7.55   6.03   5.63   6.65   1.31   0.66   2.66   4.48   3.16
195311   0.07   0.49   3.96   2.01   4.84   2.32   3.09   7.98   3.03   2.54
195312  -0.95  -1.17   0.60   0.40   0.57   0.51   1.00  -1.34   0.60  -1.54
195401   4.52   5.24   4.63   8.76   7.56   1.83   3.50   5.65   3.30   6.06
195402  -0.35   1.70   1.03   2.84   6.63   2.64   0.43  -0.18   1.55   1.75
195403   1.30   3.38   4.88   4.36   7.27   1.70   0.41   0.28   2.98   1.96
195404   1.28   3.91   5.84   5.89   7.99   2.07   1.37   1.20   1.10   2.92
195405   1.97   4.43   4.13   3.18  -0.42   1.09   2.62   1.61   2.70   4.41
195406   0.70   1.19   3.54  -5.70   9.18   0.53   2.35  -2.43   1.32   2.04
195407   6.45   9.71   5.29   4.07   0.07   4.26   4.16   8.21   5.46   6.79
195408  -2.67  -3.35  -3.71   0.43  -4.37  -1.68  -0.15  -2.57  -1.72  -1.49
195409   3.73  14.24   6.23   9.70   6.74   2.62   4.68   2.82   1.98   4.11
195410  -1.88  -0.77  -1.18  -2.11  -1.49  -0.80  -2.47  -1.62  -3.84   0.17
195411   6.20   4.32  13.41   8.18  13.66   3.46   8.35  12.55   5.66  11.88
195412   4.02   7.21   6.58   6.73   3.51   1.52   2.40   6.13   3.51   8.90
195501   0.79   0.51  -0.12   0.49   3.67   0.84   1.77  -2.88   1.49   1.04
195502   1.74  -1.00   4.24   2.15   4.58   4.04   1.36   2.85   3.68   3.28
195503  -0.16   0.05   0.30   0.08  -1.90  -0.09  -1.53   6.10  -0.79  -0.01
195504   3.96   5.60   4.27   0.67   5.16   1.97   1.82   0.01   2.58   2.56
195505   0.15  -1.14   2.91  -0.53   0.24   1.24   2.68   3.14  -0.09   1.50
195506   3.07   9.85   9.35  10.76   3.66   0.49   4.27   0.17   1.67   2.65
195507   3.17  18.56  -1.39   2.80  -3.17   2.68   2.09   0.14   0.14  -2.12
195508  -0.99  -4.22   3.07  -1.06   0.77  -2.47   1.65   0.15  -2.25   0.12
195509  -1.21   8.66  -0.48  -0.23  -4.50   1.09   3.16  -3.20  -0.04  -2.23
195510  -0.38  -4.87  -2.88  -0.92  -4.70  -1.15  -2.41   0.81  -1.37  -2.60
195511   2.49   8.89   7.75   8.52  10.57   1.69   5.49   6.26   5.88   6.59
195512   0.97  -4.04   2.85   3.71   4.57   0.93  -0.70   6.22  -2.69   0.40
195601  -1.51  -6.50  -4.62   0.57  -4.95   1.79  -3.99  -6.50  -2.67  -3.32
195602   1.33   5.75   4.83   4.36   6.19   0.16   2.68   8.25  -0.95   3.58
195603   2.26   3.95   7.79  11.23   9.39   1.34   0.42   7.24   1.74   5.50
195604   1.16  -5.15   0.99   3.49  -0.26  -0.83  -1.49   2.74  -2.15   0.34
195605  -3.13  -4.38  -6.05  -6.20  -5.95  -1.10  -4.15  -1.24   0.32  -4.84
195606   0.24   6.52   4.63   2.71   5.74   1.21   2.33   3.58   1.01   1.85
195607   2.14   4.57   5.91   6.09   5.12   2.71   4.72   3.10   5.24   2.64
195608  -1.17   0.58  -3.23  -5.27  -3.30  -1.32  -3.99  -3.07  -2.48  -2.72
195609  -3.09  -0.89  -5.84  -5.62  -7.02  -2.76  -4.72  -3.69  -3.87  -3.92
195610   0.66  -1.34   0.80   0.57   3.52  -1.43   1.20   0.58   1.16   0.50
195611  -0.12  -3.53  -0.93   5.43   0.22   1.55  -2.12  -1.31   0.43   0.16
195612   1.30   0.89   4.67   4.00   4.40   2.58  -0.29   6.05   1.77   2.43
195701   1.67  -4.78  -5.46  -4.07  -5.44   2.89  -1.02  -2.26   2.66   0.08
195702  -1.34  -1.64  -2.76  -2.20  -1.04   0.34  -0.92  -0.35  -0.34  -3.02
195703   1.39   0.42   1.96   3.12   4.75   1.54   2.35   8.21   1.72   2.53
195704   1.13   7.25   3.55   6.76   7.94   0.50   0.28   5.43   3.16   2.54
195705   1.25   0.64   3.40   7.50   5.65   1.02   2.71   4.78   2.28   1.42
195706  -0.25  -0.21   0.18  -1.63   4.72  -2.11  -2.03   6.45  -5.11  -0.51
195707   0.70   3.24   0.62   1.03   0.79  -0.27   2.49   2.98   0.02   1.05
195708  -2.01  -2.71  -6.27  -5.67  -7.12  -0.05  -2.65  -2.26  -2.59  -5.11
195709  -1.37  -7.09  -6.94  -7.84  -6.37  -2.23  -0.08  -3.71  -1.70  -5.70
195710  -2.18  -4.34  -4.81  -5.65  -2.70  -2.08  -3.55  -0.45  -0.65  -6.74
195711   3.48  -5.67   3.28   2.39   6.53   1.49   1.39   7.77   4.38   0.29
195712   0.59  -8.17  -4.73  -6.87  -3.81   1.25  -1.84  -0.38   2.51  -3.72
195801   7.68   5.40   5.75   1.60   4.35   4.27   8.12  -0.05   6.24  10.02
195802   1.94  -1.30  -1.95  -4.60  -1.88   0.65   1.44   4.92   1.29  -1.03
195803   4.06   2.61   1.57   7.97   2.53   1.17   4.39   7.53   1.97   2.49
195804   3.42   4.31   1.34   5.16   0.09   2.69   2.97   7.52   5.08   3.15
195805   3.03   4.70   3.52   0.41   1.70   2.10   3.67   1.07   1.41   3.70
195806   2.98   2.45   2.33   4.82   3.65   1.63   2.06   3.23   2.16   3.27
195807   1.67   9.34   8.44   0.72   3.74   0.91   2.24   5.91   1.12   5.32
195808   3.14  -0.25   2.43   1.98   2.16   2.32   5.47   2.02  -1.04   2.84
195809   3.98  10.22   4.58   3.22   5.98   5.22   3.96  11.71   3.51   4.21
195810   2.66   1.86   2.95   1.23   4.88   1.32   1.98   1.02   4.24   3.62
195811   4.10   2.03   3.09   2.02   4.24   2.16   5.62   8.04   2.97   4.07
195812   3.09   3.05   5.09   1.23  12.84  13.61   5.29   4.65   5.98   2.87
195901   4.29  -0.17   1.02   0.49  -1.76   3.84   3.83  -0.62   1.24   1.80
195902   2.91  -1.32   3.69  -7.31   5.22   4.79   3.08   3.86   1.25   2.22
195903   0.30  -0.71  -0.29   2.07   2.44  -0.32  -2.21   4.23   1.65  -0.16
195904   2.72   9.69   4.08   1.65   8.20   4.68   1.68  11.92  -1.12   1.85
195905   1.41   6.24   4.02  -0.98   4.24  -1.00   2.33  -1.08  -1.07   0.33
195906   1.59   0.44   1.23  -2.61  -0.67  -1.52   1.60   6.54  -2.23   1.51
195907   3.57   8.02   3.79   4.93   0.31   0.43   1.71   4.71   3.86   0.46
195908  -0.54   3.24  -1.87  -3.11  -2.95   0.43   0.67  -3.49   1.38  -1.89
195909  -3.15  -4.31  -4.99  -6.87  -4.19  -0.99  -2.01  -5.00  -4.31  -3.86
195910   3.66  -1.11   1.54   1.13   4.95   0.84   1.00   2.38   0.88   0.94
195911   0.92   0.14   2.35  -0.41   8.92  -1.14   2.10   5.58   0.43   0.02
195912   1.14   5.89   2.16   4.19   3.39   4.43   2.60  -1.61   2.13   1.60
196001  -3.05 -11.34  -8.22  -7.35  -9.54   0.52  -5.91  -6.31  -2.08  -4.75
196002   2.90  -2.03   0.41  -3.36   5.45   9.06   3.60   0.28   2.78   0.20
196003  -1.70  -5.29  -3.62  -0.86   1.32   0.13   0.15   1.56   1.79  -1.71
196004   1.29  -2.09  -3.78  -4.19   0.63  -0.90  -0.18   1.66   1.37  -0.62
196005   6.33  -0.47   3.72  -3.35   9.68   3.49   2.97  13.76   1.53   0.79
196006   4.28   0.69   1.65   3.47   1.48  -0.36   4.10  -0.15   5.82   3.28
196007  -0.94  -0.51  -4.30   0.84  -4.29   0.22  -2.92  -4.05  -1.24  -2.24
196008   4.49   3.29   1.78   4.04   1.30   7.20   3.04   2.57   4.46   3.01
196009  -3.40  -5.34  -7.13  -1.12  -8.70  -5.86  -8.23  -8.69  -4.56  -5.58
196010   1.70  -1.04  -1.55   2.38  -3.37   0.05  -0.04  -3.55  -0.32  -0.78
196011   8.54  -0.70   4.76   3.46   7.02   4.26   6.46   3.93   3.78   6.31
196012   4.54  -0.23   3.87   5.23   2.99  12.29   2.17   6.22   6.42   4.86
196101   5.37   8.49   6.83   9.87   2.93   6.88   2.87   6.42   4.85   6.81
196102   6.57   4.45   5.13   0.59   2.80   0.19   4.97   5.37   3.67   5.71
196103   4.73   3.92   1.80   1.53   3.00   7.00   5.67   4.11   1.74   3.49
196104  -1.27  -1.00  -1.14   4.77   0.48   1.49   0.93  -0.42   1.86   0.54
196105   3.68   1.78   4.70   0.32   2.76  -1.07   3.99   2.20   2.50   4.45
196106  -1.21  -2.03  -3.10  -3.91  -3.37  -3.66   0.30  -3.65  -1.82  -4.40
196107   2.80   6.95   2.34   2.36   1.76   5.78   2.22   3.34   2.89   2.07
196108   5.11   1.92   2.12   0.05   4.53  -1.27   3.20   3.92   3.83   4.37
196109   0.06   5.51  -4.46  -6.07   0.05  -1.20   0.14  -1.54   1.41  -2.66
196110   3.30   0.37  -0.27   6.72   3.22   0.59   8.66   3.24   5.30   1.50
196111   5.79   9.70   2.95   4.68   3.03   8.85   4.86   3.57   3.38   4.00
196112  -2.91   2.07   0.19   3.57  -0.64   3.84  -0.24  -2.14  -4.26  -1.83
196201  -5.87  -0.81  -3.32   0.20  -4.99  -6.08  -8.66  -4.27  -2.60  -1.39
196202   0.33  -1.48   1.50   5.14  -0.07   4.22   1.69   3.48   2.66   1.07
196203  -1.07  -1.09  -0.57  -1.69   0.25  -2.92   0.71   0.51   2.01  -2.04
196204  -6.78  -4.34  -7.76  -3.46 -11.07  -4.10  -4.68 -11.18  -2.81  -7.22
196205 -11.10  -5.14  -8.40  -4.96 -11.33  -7.76  -9.16 -11.00 -10.52  -8.16
196206  -8.88  -6.57  -9.56  -4.61 -11.43  -8.55 -10.35 -12.64  -5.08  -9.12
196207   5.03   8.73   5.53   4.84  11.40   7.45   4.50   7.71   7.42   5.21
196208   1.04   3.78   2.37   1.30   3.45   1.86   4.15  -7.61   3.13   3.77
196209  -5.76  -2.93  -5.64  -1.76  -8.94  -6.06  -6.34  -4.29  -2.85  -5.87
196210  -3.35   2.19   1.43  -0.30  -0.24   2.74  -1.00   2.33  -1.09  -0.30
196211  12.24   7.22  13.08  10.43  14.64   6.86  11.24  17.74   7.62  14.35
196212   1.43   2.86  -1.15   4.79  -0.22   1.33   0.20   0.68   3.46   0.83
196301   6.13   6.42   6.29   2.91   5.65   4.26   4.01   5.85   5.23   5.80
196302  -3.05  -3.00  -2.54  -0.82  -5.09  -0.94  -0.42  -2.69  -1.45  -1.07
196303   2.51   7.49   2.73   7.06   2.62   1.99   2.16   1.25   1.80   2.09
196304   2.38   5.46   4.58   5.98   6.34   3.15   5.34   7.66   2.32   4.98
196305   2.02   7.82   2.07   0.02   4.26  -0.53   2.51  -0.19   1.03   4.39
196306  -1.39  -2.82  -2.39   1.11  -4.97  -1.87  -1.47  -1.27  -1.14  -1.70
196307  -0.50  -0.23  -1.40   2.45  -0.90   0.01  -0.50   0.23   0.84  -1.48
196308   4.87   6.55   6.32   3.72   4.87   4.35   5.79   9.59   4.13   5.80
196309  -1.65  -0.25  -0.89  -3.33  -0.01   2.45   0.32  -4.02  -2.47  -3.51
196310   2.88   9.83   2.42  -0.33   7.95   4.25   0.47   3.40  -0.67   1.18
196311  -1.23  -4.80   0.34  -1.52  -0.53   4.50  -1.46  -1.62  -1.09  -0.24
196312   2.71   0.30   1.92   4.51   2.85  -0.04   0.04   1.35   2.44   2.76
196401   0.81   1.27   2.78   4.61   2.93   3.67   2.66   3.58   1.40   1.08
196402   1.85   2.11   2.58   0.90   1.88  -0.19   1.97   1.43   0.85   5.68
196403   2.83   0.86   3.92   1.28   3.18  -1.08   2.38  -2.06  -0.76   2.21
196404  -0.55   1.87  -1.59   3.86  -3.49   1.01   2.94  -1.60   1.05   0.25
196405   1.51   1.10   1.75   2.08   2.67  -0.63   3.71   0.52   0.75   2.41
196406   1.63   0.70   0.87   0.61   0.52   5.69   3.83   0.41   2.23   1.04
196407   1.59   5.25   1.37   3.27  -1.64  -2.09   1.62   4.90   4.99   1.35
196408  -0.01   1.28  -1.23  -1.56  -2.61  -1.70   0.14  -4.11  -0.05  -3.04
196409   1.80   5.06   4.76   3.29   1.44  -1.13   3.31   2.96   1.89   4.07
196410  -0.07   0.27   0.50   2.98  -1.12  -1.05   2.54   2.86   0.89   0.88
196411   0.62  -1.41  -0.55   2.35  -0.35  -2.56   3.03   2.07   1.38  -1.85
196412   0.19   1.67  -0.70  -0.46  -0.08   3.68  -0.04   4.40   0.52  -1.62
196501   6.03   3.79   5.45   0.49   7.42  -0.34   3.58   7.54   3.95   4.28
196502   1.70  -0.51   2.69  -3.19   2.04   1.19   1.52   2.46   0.40   2.57
196503  -0.70   1.53  -0.94  -3.04  -0.41  -2.11  -0.79  -0.98  -0.55   0.23
196504   4.19   7.06   4.12   0.81   5.26   2.56   6.98   2.96   0.66   2.27
196505  -0.82  -3.47  -0.65   0.88   0.40   3.04   0.22  -1.19  -0.94  -1.34
196506  -5.34  -6.91  -6.31  -2.01  -5.95  -3.77  -6.06  -5.45  -3.70  -6.85
196507   1.77   2.20   2.43   1.78   3.72  -0.61  -1.28   4.02   1.05   3.34
196508   4.10   3.26   3.37   1.58   5.83   1.32   2.32   6.66   0.99   5.16
196509   0.45   7.08   3.92   4.27   5.47   0.93  -0.70   2.33   1.38   2.15
196510   2.74   6.31   4.57   1.44   5.41  -2.20   0.74   3.19   1.06   4.25
196511   1.20  -4.08   1.56   0.66   2.82  -4.56   1.58   3.49  -1.00   4.01
196512   1.39   1.19   3.20   0.13  -1.41  -0.80   1.29   3.91  -0.46   3.51
196601   2.33   0.53   3.07   1.14   1.65  -1.56  -3.40   2.48  -3.02   5.11
196602  -0.41  -1.55  -0.56  -3.61   5.25   0.86  -1.64  -1.47  -4.18   2.30
196603  -2.44  -3.09  -1.89  -2.17  -0.58  -5.11  -2.31  -1.67  -0.15  -2.52
196604   0.40   0.18   3.18   3.07   7.69   1.48   3.47   0.16   1.17   2.87
196605  -5.09  -8.23  -5.84  -3.74  -6.52  -2.96  -3.29  -5.36  -2.98  -7.68
196606  -1.84  -2.00  -0.93  -2.49   0.15   0.69  -2.33   1.16  -1.72   0.90
196607  -0.97  -2.42  -1.54   0.30  -1.73  -1.42  -1.59  -1.68  -0.18  -2.19
196608  -7.29  -7.55  -8.07  -6.48  -5.55  -4.46  -6.91  -8.04  -8.66 -11.84
196609  -1.45  -0.95  -3.34   3.92  -1.72  -0.38  -2.13  -1.15   4.43  -1.36
196610   4.30   0.59   2.36   8.52  -0.17   9.00  -0.53   4.75   9.89   2.62
196611   2.25  -3.48   2.82  -1.50  11.40  -2.66   0.81   6.94  -1.45   7.49
196612   0.52  -2.62   1.47  -0.71   0.16   2.90  -3.34  -0.18   2.19   2.28
196701   9.50  12.12  11.40   3.75  10.59   5.88  11.45   6.51   2.78  12.55
196702   2.42  -1.00   1.14  -0.07   5.93   1.68   2.97   1.46  -1.74  -0.18
196703   4.96   4.31   5.89   3.72   5.33   3.20   4.27   7.81   1.52   4.48
196704   4.39  11.09   3.72   1.74   7.97  -0.24   9.62   4.40   1.92   1.97
196705  -2.23  -7.49  -3.34  -2.17  -4.60  -6.09  -4.63  -5.28  -4.15  -1.51
196706   3.08   1.37   2.31   2.43   6.53   3.12   3.75   5.44  -1.46   4.25
196707   5.94  10.96   5.16   6.65   3.78  -7.07   5.78   3.78   2.31   8.27
196708  -1.31   0.14  -0.47  -1.80  -1.04  -1.45   0.83   0.68  -0.83  -1.15
196709   2.97   4.96   3.46   4.16   8.09   1.54   2.16   2.93  -0.04   2.03
196710  -2.56  -4.81  -3.36  -1.09   4.87  -3.51   1.04  -5.01  -5.41  -4.93
196711   0.69  -0.68   0.05   1.08   1.26   0.39   0.15   1.32   3.18   0.21
196712   3.33   0.90   5.34   3.24   2.46   0.38   3.74   1.52   3.26   5.42
196801  -0.31  -5.28  -6.06  -0.38  -8.31   2.58   1.30  -6.54   0.50  -1.90
196802  -2.94  -2.22  -4.11  -2.86  -4.37  -2.78  -0.81  -4.23  -1.45  -2.84
196803   0.55   0.58   0.30   0.57   3.99  -1.15   2.68   0.15  -4.12  -0.76
196804  11.04  12.05  10.66   5.97  12.45   2.33  12.27  11.82   2.99  12.33
196805   5.48  -0.43   3.24   1.16   3.83  -0.67   3.83   3.35   0.60   5.84
196806   1.09  -1.51  -0.27   2.15  -1.85   3.73   0.31   2.21   8.33   2.69
196807  -3.61  -2.78  -3.82   5.15  -5.43  -0.04  -4.54  -4.13   0.15  -2.95
196808   2.54   1.10   3.43   1.33   0.53   1.63   2.52   0.67  -0.85   2.74
196809   4.93   6.73   4.78   3.54   2.86   3.35   7.53   0.83   0.30   8.71
196810   1.15   4.79   1.13   2.38  -5.04   2.91   0.83  -0.04   0.49   1.36
196811   4.63  -0.70   5.74   5.61   8.53   5.96   5.14   8.14   8.75   7.64
196812  -1.11  -4.36  -3.49  -2.61  -5.40  -6.92  -3.82  -1.04  -2.84  -3.37
196901  -0.90  -1.86  -0.38  -1.10  -4.65   1.25  -0.90  -0.26   2.39   0.66
196902  -6.72  -3.29  -5.77  -4.47  -3.56  -3.60  -4.06  -5.14  -5.20  -8.28
196903   0.71   5.03   2.53   6.92   5.43  -0.21   4.94   3.35  -1.27   0.89
196904   0.83   1.22   1.32  -0.34   3.92   8.11   4.06   5.00   1.35   1.57
196905   1.33   0.02  -0.79   3.51  -1.68   1.33   0.44   1.65  -0.01  -1.30
196906  -7.06  -5.89  -6.91  -9.64  -0.05  -4.27  -6.31  -5.09  -5.71  -9.88
196907  -6.70  -7.03  -5.44  -9.65  -5.41  -4.54  -7.47  -2.72  -3.01  -9.73
196908   4.42   2.92   4.23   6.49   7.07   1.80   8.30   9.23  -1.23   8.95
196909   0.24  -0.42  -2.01  -9.50   0.23  -4.10  -1.04   2.17  -4.15  -0.41
196910   8.41   3.75   6.91  -1.04   5.77   3.60   7.24   8.97   8.21   7.85
196911  -2.66  -4.55  -3.20  -4.54  -1.78   1.55  -4.09   0.29  -5.28  -5.72
196912  -1.99  -3.57  -1.40  -3.04  -0.75  -5.79  -3.05   4.27  -0.63  -3.51
197001  -4.07  -8.19  -7.37 -11.62  -9.04  -2.95  -6.01  -7.09  -4.14  -8.49
197002   4.45   5.77   5.17   5.50   2.97   8.32   6.00   5.51   8.30   9.42
197003  -0.85   5.21  -0.40  -0.44  -2.58   2.21  -1.37  -5.09   2.80  -1.75
197004 -10.17  -8.61  -8.96  -9.09 -14.33  -9.00 -10.91 -10.16  -8.01 -13.92
197005  -7.35  -6.22  -7.56   2.74  -9.54  -3.94  -9.18  -7.74  -5.39  -7.99
197006  -1.47  -3.64  -4.86  -2.48 -11.76  -8.76  -3.96  -0.54  -4.67  -6.73
197007   6.35  10.48   5.04  12.57   2.41  10.75  10.89   2.13   8.61   7.77
197008   1.46   8.19   4.60   6.51   8.01   2.25   4.82   1.83   4.70   5.07
197009   5.70   2.70   4.07   3.15  10.15  -0.69   7.67   8.01  -0.49   7.44
197010   0.70  -1.85  -3.14   3.02  -3.52  -3.91  -1.48   0.28  -0.83  -5.78
197011   4.98   7.10   3.88   4.82   4.09   5.95   6.34   2.91   9.36   4.06
197012   7.25   6.21   7.92   2.33   4.43   7.33   5.39   5.36   7.11   8.27
197101   4.84   3.62   5.91   0.35   5.44   9.67   7.76   4.86   3.00   8.18
197102   3.78   2.28   1.20   4.79   2.77  -5.43   3.79   1.35  -2.51   2.31
197103   4.56   3.35   4.12   2.77   8.08   0.65   6.16   3.68   2.36   6.07
197104   2.13   8.89   4.21   4.35   2.36   0.97   4.60   4.24  -3.46   4.36
197105  -3.02  -4.56  -2.22  -4.67  -6.11  -5.38  -2.20  -2.12  -3.73  -4.49
197106  -0.15  -0.62   0.36   1.08  -2.16   1.24   0.15   2.01   4.21  -1.17
197107  -2.11  -5.23  -4.86  -2.35  -8.59  -3.82  -3.18  -2.19  -2.17  -3.72
197108   3.10  10.82   6.32  -1.21   5.70  -0.11   6.12   3.17  -2.29   7.03
197109  -0.01  -0.08  -0.28  -1.75  -1.55   0.37   0.73   0.65  -1.51  -0.35
197110  -4.41  -5.14  -6.07  -4.08  -4.37  -2.21  -3.74  -2.46   2.04  -3.76
197111  -0.34   0.18  -1.00   0.09   1.78   0.38   0.05   0.71  -1.14  -0.52
197112  10.47   6.17   9.93   8.77  11.25   7.82   9.84   7.76   8.12   8.50
197201   2.50   3.27   3.28   0.23   8.41   1.08  -0.06   2.65  -0.29   3.68
197202   4.60   0.43   4.94   2.64   1.87   0.35   5.95   7.12  -2.54   2.02
197203   0.15   4.45   2.49  -5.56   1.09  -0.46   2.05   0.47  -0.10   2.47
197204   1.90  -0.66   1.99  -0.48   0.74  -0.90  -0.48   1.10  -2.75   1.84
197205   0.41  -1.23   1.93   3.75   3.71   1.58   1.06   3.71  -0.18  -0.33
197206  -1.06  -2.86  -2.30  -1.12  -2.54  -2.60  -4.19   2.50  -1.54  -4.51
197207  -1.62  -1.94   0.47  -1.25   0.95   0.80  -2.56   3.11   0.05  -2.57
197208  -0.12   3.94   2.30  12.58   2.86   5.32  -0.14   1.03   5.87   3.44
197209  -2.61  -0.91  -1.22  -0.18  -1.16   4.55  -0.64  -0.45   0.20  -1.52
197210   0.04  -2.37   1.15   3.18  -3.30   2.22   1.06   1.49   6.79   0.68
197211   6.83   8.29   4.34   6.16   2.50   6.96   6.23  -0.52   6.35   5.05
197212   0.54   1.80   0.80   0.99   1.99   1.85   1.58   3.72  -1.49  -0.62
197301  -4.73  -6.61  -3.81   5.12   1.93  -2.01  -4.40  -1.21  -4.26  -7.47
197302  -4.36  -5.97  -2.35  -7.34  -3.03  -5.08  -6.29  -0.70  -1.98  -6.35
197303  -0.99  -2.84  -0.13   3.23  -1.23   0.65  -5.49   0.77  -2.17  -0.46
197304  -6.18  -4.98  -4.51  -0.96  -6.70   0.82  -8.18  -5.49  -0.57  -7.80
197305  -2.07  -4.43  -1.16  -3.32  -2.58  -0.51  -2.03   1.05   0.31  -5.14
197306  -3.47  -2.50  -0.34   1.60  -0.09  -0.35  -5.52   0.01  -2.47  -0.22
197307   7.44   7.14   6.61   0.18   4.97  -0.53  11.10   6.88  -2.40   9.23
197308  -3.29  -3.97  -1.51  -3.85  -3.67  -4.58  -4.21  -6.93  -2.08  -2.39
197309   5.86   7.66   4.49   9.67  -2.82   8.71   7.48   0.77   7.89   7.10
197310  -2.29  -4.55   0.30   4.99   3.82  -6.35  -2.93   1.80  -3.33  -0.83
197311 -14.23 -16.13 -14.35  -6.30 -11.46  -4.38 -18.74  -7.78 -11.60 -13.01
197312  -1.63  -3.94   1.11   8.98  -4.31   5.27   0.09  -4.51   3.44   2.58
197401   2.38   6.55   0.56  -7.93   1.25   1.33   6.57  -2.51   4.51   1.22
197402  -0.07  -0.89  -0.06  -1.57  -0.59   5.02   1.30  -1.21   0.28   0.93
197403  -1.85   0.12  -0.68  -3.31  -2.77  -4.43  -2.84   1.22  -3.57  -3.69
197404  -3.73  -3.98  -2.04  -6.14  -3.69  -5.29  -2.30  -1.49 -12.28  -6.46
197405  -2.84   0.54  -2.44  -7.21  -4.31  -1.18   0.88  -0.14  -4.91  -8.41
197406  -0.57  -2.52  -0.38  -0.25  -2.94   0.66  -2.92  -1.61  -6.10  -5.25
197407 -10.26 -11.73  -7.24  -0.69  -8.48  -8.58 -12.69 -14.05   0.72  -6.52
197408 -10.25  -6.77 -10.20  -8.30  -4.85   0.79 -12.89  -8.11  -8.55 -10.46
197409 -12.15 -12.60 -12.71  -7.85 -16.78  -4.16 -12.26 -15.55  -1.30  -9.29
197410  15.66   4.06  15.98  21.26  14.78  11.73  10.87  29.48  12.92  19.84
197411  -3.82  -4.65  -5.94  -3.98  -4.92  -3.45  -5.35  -1.20  -0.09  -2.76
197412  -0.58  -3.85  -4.56   0.90  -5.29   1.99  -3.99  -3.39  -0.80  -4.05
197501  18.75  21.56  14.66   6.10  15.27  10.69  26.72  -0.57  18.79  17.17
197502   4.11   4.65   8.04   2.26  13.17   5.39   4.84  16.02   0.92   2.85
197503   6.97   6.80   5.07  -2.14   0.98  -0.82  10.31   1.31  -1.30   4.11
197504   3.03   4.21   9.56   7.09   5.51  -0.73   2.82   0.72  -1.59   3.20
197505   5.31   2.43   2.70  12.45   5.87   3.54   4.26   6.49   8.41   5.63
197506   5.27  10.34   3.48   6.02   2.28   4.13   7.21   0.92  10.78   6.07
